well-behaved WGD
fit_plot_Cochlearia officinalis_CSUV_1.0,High
fit_plot_Apios americana_NXOH_1.0,High
fit_plot_Philonotis fontana_ORKS_1.0,High
fit_plot_Anticharis glandulosa_EJBY_1.0,Low
fit_plot_Antirrhinum braun-blanquetii_YRHD_1.0,Medium
fit_plot_Rauvolfia tetraphylla_QEHE_1.0,High
fit_plot_Dendropemon caribaeus_VGVI_1.0,High
fit_plot_Leucobryum glaucum_RGKI_1.0,High
fit_plot_Phyllanthus sp._YGAT_1.0,High
fit_plot_Porella pinnata_UUHD_1.0,High
fit_plot_Gomortega keule_MAQO_1.0,Low
fit_plot_Ricciocarpos natans_WJLO_1.0,High
fit_plot_Cistus inflatus_PKMO_1.0,High
fit_plot_Garcinia livingstonei_OSIP_1.0,Medium
fit_plot_Unknown_YRBQ_1.0,High
fit_plot_Saponaria officinalis_SKNL_1.0,Medium
fit_plot_Platanus occidentalis_VQFW_1.0,High
fit_plot_Grevillea robusta_GRRW_1.0,High
fit_plot_Begonia sp._OCTM_1.0,Medium
fit_plot_Hemerocallis sp._JHUL_1.0,High
fit_plot_Tabebuia umbellata_UTQR_1.0,Medium
fit_plot_Acacia argyrophylla_ZCDJ_1.0,Medium
fit_plot_Euptelea pleiosperma_QTJY_1.0,High
fit_plot_Pseudolycopodiella caroliniana_UPMJ_1.0,Medium
fit_plot_Hedwigia ciliata_YWNF_1.0,Medium
fit_plot_Unknown_BVOF_1.0,Medium
fit_plot_Buxus sempervirens_IWMW_1.0,Low
fit_plot_Solanum lasiophyllum_DLAI_1.0,Medium
fit_plot_Souroubea exauriculata_BNTL_1.0,Low
fit_plot_Xanthium strumarium_UBLN_1.0,High
fit_plot_Lycopodium annotinum_ENQF_1.0,Medium
fit_plot_Nelumbo sp._FAKD_1.0,High
fit_plot_Dendrolycopodium obscurum_XNXF_1.0,Medium
fit_plot_Phytolacca bogotensis_MRKX_1.0,High
fit_plot_Asclepias curassavica_DSUV_1.0,High
fit_plot_Strychnos spinosa_GGJD_1.0,Medium
fit_plot_Freycinetia multiflora_DGXS_1.0,High
fit_plot_Galax urceolata_ADHK_1.0,High
fit_plot_Bambusina borreri_QWFV_1.0,High
fit_plot_Unknown_XISJ_1.0,Medium
fit_plot_Buddleja lindleyana_XRLM_1.0,High
fit_plot_Helenium autumnale_DUNJ_1.0,Medium
fit_plot_coccoid-prasinophyte_XJGM_1.0,High
fit_plot_Unknown_ZCUA_1.0,High
fit_plot_Unknown_LVUS_1.0,High
fit_plot_Volvox globator_ISPU_1.0,Low
fit_plot_Unknown_OMYK_1.0,Low
fit_plot_Scytosiphon dotyi_ULXR_1.0,High
fit_plot_Peumus boldus_KRJP_1.0,High
fit_plot_Athrotaxis cupressoides_XIRK_1.0,High
fit_plot_Papuacedrus papuana_OVIJ_1.0,High
fit_plot_Petiveria alliacea_AZBL_1.0,High
fit_plot_Unknown_XQRV_1.0,Low
fit_plot_Calycanthus floridus_FALI_1.0,High
fit_plot_Zaleya pentandra_BERS_1.0,High
fit_plot_Utricularia sp._HRUR_1.0,Medium
fit_plot_Chaetopeltis orbicularis_BAZF_1.0,High
fit_plot_Tropaeolum peregrinum_MYZV_1.0,Medium
fit_plot_Xerophyllum asphodeloides_AFLV_1.0,High
fit_plot_Astragalus membranaceus_HJMP_1.0,Low
fit_plot_Neckera douglasii_TMAJ_1.0,High
fit_plot_Codium fragile_GYBH_1.0,High
fit_plot_Racomitrium elongatum_ABCD_1.0,Medium
fit_plot_Encalypta streptocarpa_KEFD_1.0,High
fit_plot_Polygonum convolvulus_FYSJ_1.0,Medium
fit_plot_Cassytha filiformis_VYLQ_1.0,High
fit_plot_Lathyrus sativus_KNMB_1.0,High
fit_plot_Linum lewisii_BHYC_1.0,High
fit_plot_Sinningia tuberosa_DTNC_1.0,High
fit_plot_Conopholis americana_FAMO_1.0,Medium
fit_plot_Paulownia fargesii_UMUL_1.0,High
fit_plot_Carteria crucifera_VIAU_1.0,Medium
fit_plot_Ilex vomitoria_ASMV_1.0,High
fit_plot_Tetraclinis sp._CGDN_1.0,High
fit_plot_Hakea drupacea_SIIK_1.0,High
fit_plot_Smilax bona-nox_MWYQ_1.0,High
fit_plot_Zygnemopsis sp._MFZO_1.0,High
fit_plot_Cosmocladium cf. constrictum_RQFE_1.0,Medium
fit_plot_Allionia incarnata_DVXD_1.0,High
fit_plot_Bazzania trilobata_WZYK_1.0,Medium
fit_plot_Flaveria sonorensis_UYED_1.0,High
fit_plot_Ternstroemia gymnanthera_NGRR_1.0,High
fit_plot_Scouleria aquatica_BPSG_1.0,High
fit_plot_Metzgeria crassipilis_NRWZ_1.0,Medium
fit_plot_Ipomoea coccinea_ERWT_1.0,Medium
fit_plot_Byblis gigantea_GDZS_1.0,Medium
fit_plot_Unknown_EYRD_1.0,High
fit_plot_Centella asiatica_WEQK_1.0,Medium
fit_plot_Lycium sp._OSMU_1.0,High
fit_plot_Pittosporum resiniferum_SALZ_1.0,High
fit_plot_Vittaria lineata_SKYV_1.0,High
fit_plot_Dunaliella tertiolecta_WDWX_1.0,High
fit_plot_Wisteria floribunda_RMWJ_1.0,High
fit_plot_Sargassum thunbergii_YRMA_1.0,Medium
fit_plot_Sphagnum lescurii_GOWD_1.0,High
fit_plot_Dichroa febrifuga_QURC_1.0,High
fit_plot_Marattia attenuata_UGNK_1.0,High
fit_plot_Crepidomanes venosum_TWFZ_1.0,High
fit_plot_Hibiscus cannabinus_OLXF_1.0,Low
fit_plot_Sphagnum palustre_RCBT_1.0,High
fit_plot_Cercidiphyllum japonicum_NUZN_1.0,Medium
fit_plot_Roridula gorgonias_HUSX_1.0,High
fit_plot_Erythroxylum coca_RPPC_1.0,High
fit_plot_Pinus ponderosa_JBND_1.0,High
fit_plot_Sarcodes sanguinea_SERM_1.0,Low
fit_plot_Callitris macleayana_RMMV_1.0,Medium
fit_plot_Ledum palustre_WXVX_1.0,Medium
fit_plot_Bituminaria bituminosa_TVSH_1.0,High
fit_plot_Linum hirsutum_HNCF_1.0,Medium
fit_plot_Cupressus dupreziana_QNGJ_1.0,High
fit_plot_Unknown_JEPE_1.0,High
fit_plot_Santalum acuminatum_RSPO_1.0,High
fit_plot_Sinojackia xylocarpa_AXBO_1.0,Low
fit_plot_Solanum xanthocarpum_LQJY_1.0,Medium
fit_plot_Chenopodium quinoa_SMMC_1.0,Low
fit_plot_Unknown_BWRK_1.0,High
fit_plot_Hymenophyllum bivalve_QIAD_1.0,High
fit_plot_Asparagus densiflorus_FGRF_1.0,High
fit_plot_Mesotaenium endlicherianum_WDCW_1.0,High
fit_plot_Solanum dulcamara_GHLP_1.0,High
fit_plot_Ipomoea pubescens_EMBR_1.0,High
fit_plot_Impatiens balsamifera_JEXA_1.0,High
fit_plot_Mesotaenium caldariorum_HKZW_1.0,High
fit_plot_Passiflora caerulea_SIZE_1.0,Medium
fit_plot_Bischofia javanica_VNMY_1.0,High
fit_plot_Timmia austriaca_ZQRI_1.0,High
fit_plot_Hemerocallis spp._BLAJ_1.0,High
fit_plot_Illicium floridanum_VZCI_1.0,High
fit_plot_Akebia trifoliata_CCID_1.0,High
fit_plot_Cypselea humifusa_GJNX_1.0,High
fit_plot_Acorus americanus_MTII_1.0,High
fit_plot_Myodocarpus sp._AJFN_1.0,High
fit_plot_Exocarpos cupressiformis_XGFU_1.0,High
fit_plot_Draba aizoides_HABV_1.0,Low
fit_plot_Ahnfeltiopsis flabelliformis_CKXF_1.0,High
fit_plot_Bauhinia tomentosa_JETM_1.0,Medium
fit_plot_Hilleria latifolia_SFKQ_1.0,Medium
fit_plot_Unknown_WOHL_1.0,High
fit_plot_Saxifraga stolonifera_FCBJ_1.0,Low
fit_plot_Staurodesmus omearii_RPRU_1.0,High
fit_plot_Allionia incarnata_EGOS_1.0,High
fit_plot_Angelica archangelica_TQKZ_1.0,High
fit_plot_Typha angustifolia_PPQR_1.0,Medium
fit_plot_Phacelia campanularia_YQIJ_1.0,Medium
fit_plot_Sagittaria latifolia_DWZT_1.0,High
fit_plot_Sargassum fusiforme_LDRY_1.0,High
fit_plot_Widdringtonia cedarbergensis_AUDE_1.0,Medium
fit_plot_Unknown_SSDU_1.0,High
fit_plot_Lycium barbarum_LWCK_1.0,High
fit_plot_Aloe vera_JVBR_1.0,High
fit_plot_Ochna serrulata_CKDK_1.0,High
fit_plot_Cosmarium granatum_MNNM_1.0,High
fit_plot_Pilgerodendron uviferum_ETCJ_1.0,High
fit_plot_Unknown_AQZD_1.0,Low
fit_plot_Linum strictum_TXMP_1.0,High
fit_plot_Unknown_ZBPY_1.0,Low
fit_plot_Taxodium distichum_FHST_1.0,High
fit_plot_Linum leonii_AEPI_1.0,High
fit_plot_Helicodictyon planctonicum_AJAU_1.0,High
fit_plot_Leucobryum albidum_VMXJ_1.0,Medium
fit_plot_Aucuba japonica_GIPR_1.0,High
fit_plot_Unknown_ZBTA_1.0,High
fit_plot_Amaranthus retroflexus_WMLW_1.0,High
fit_plot_Calliergon cordifolium_TAVP_1.0,Medium
